日期,区域,品类,数量,单价,销售额
2026-08-12,华东,手机,2,3999,7998
2026-08-12,华中,手机,3,3999,11997
2026-08-13,华北,耳机,2,899,1798
2026-08-13,华东,平板,3,2599,7797
2026-08-13,华东,平板,2,2599,5198
2026-08-13,华北,手机,3,3999,11997
2026-08-13,华中,耳机,5,899,4495
2026-08-13,华北,笔记本,2,6999,13998
2026-08-13,华北,耳机,1,899,899
2026-08-13,华北,平板,4,2599,10396
2026-08-13,华北,平板,2,2599,5198
2026-08-13,华东,耳机,1,899,899
2026-08-13,西南,笔记本,2,6999,13998
2026-08-13,西南,平板,3,2599,7797
2026-08-13,华北,笔记本,1,6999,6999
2026-08-13,华北,耳机,3,899,2697
